movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
The New Guy , 2002 , PG-13 ,4,4,5,"A high school senior (D.J. Qualls) is tired of being a blip on the radar screen of life and is determined to reinvent himself and see what it's like to be popular. So he transfers to a new high school and he's soon the most sought after student. Trouble starts when students from his old high school show up at a football game, recognize him, and remember him as he used to be. Also with Eliza Dushku, Zooey Deschanel, Lyle Lovett and Eddie Griffin. [1:29]"
New In Town , 2009 , PG ,5,4,4,"A big-city corporate executive (Renee Zellweger) is sent to downsize a small-town manufacturing plant in Minnesota. However, with new friendships and a budding romance, her empathy for the workers softens her demeanor and attitude. Also with Harry Connick Jr., Siobhan Fallon, J.K. Simmons and Frances Conroy. Directed by Jonas Elmer. [1:36]"
Newsies , 1992 , PG ,1,1,0,"Based on the 1899 newsboys' strike in New York City, the film touches on the subjects of child labor and unionism."
The Newton Boys , 1998 , PG-13 ,3,4,3,"Set in the 1920s, four brothers make a plan to rob a lot of banks. Matthew McConaughey, Ethan Hawke, Skeet Ulrich and Vincent D'Onofrio."
The New World , 2005 , PG-13 ,4,6,1,"Colin Farrell stars as Captain Smith (of the Pocahontas tale), who sails from England in the early years of the 17th century and lands in Virginia, at that time an expanse of primeval wilderness populated by many native tribes. There he meets a young Native American woman, who saves his life and he falls in love with her. Also with Christopher Plummer, Wes Studi, August Schellenberg and Raoul Trujillo. Directed by Terrence Malick. [2:30]"
New Year's Eve , 2011 , PG-13 ,5,3,5,"A star-studded ensemble cast featuring the different experiences a group of connected strangers with intertwining stories on New Year's Eve 2012. Love, hope, forgiveness, disappointment, second chances and fresh starts are in the air. With Michelle Pfeiffer, Zac Efron, Robert De Niro, Halle Berry, Chris ""Ludacris"" Bridges, Alyssa Milano, Common, Jessica Biel, Seth Meyers, Sarah Paulson, Katherine Heigl, Jon Bon Jovi, Sofia Vergara, Ashton Kutcher, Lea Michele, Jim Belushi, Josh Duhamel, Sarah Jessica Parker, Abigail Breslin and Hilary Swank. Directed by Garry Marshall. [1:58]"
New York Minute , 20 , PG ,3,3,1,"17-year-old twin sisters (Ashley and Mary-Kate Olsen) who look identical but could not be any more different, are forced to spend a day together in New York city. They each try to visit disparate places, which are important to them but due to a series of mishaps their schedules are messed up. Meanwhile, a truancy officer (Eugene Levy) is after them and determined to catch at least one of them. Also with Andy Richter and Darrell Hammond. Directed by Dennie Gordon. [1:26]"
Next , 2007 , PG-13 ,5,6,5,"Nicolas Cage stars as a man who has the power to see two minutes into the future. Anxious to avoid becoming the focus of a government experiment into precognition, he works under an assumed name doing magic tricks and lives off small-time gambling winnings. But when terrorists threaten to explode a nuclear device, he is coerced into helping the FBI prevent disaster. Also with Julianne Moore, Jessica Biel, Tory Kittles and Michael Trucco. Directed by Lee Tamahori. [1:36]"
The Next Best Thing , 2000 , PG-13 ,5,1,5,"When a drunken tryst between a single woman (Madonna) and her gay best friend (Rupert Everett) results in a pregnancy, they raise the child together successfully until one of them meets someone else. With Benjamin Bratt, Michael Vartan, Josef Sommer, Richard Whittaker, Lynn Redgrave, Kimberley Davies, Illeana Douglas, Stacy Edwards, Neil Patrick Harris, Suzanne Krull, Linda Larkin, Jessica Sara and Malcolm Stumpf. [1:47]"
Next Day Air , 2009 , R ,7,8,10,An inept deliveryman (Donald Faison) gets high and delivers a box containing 10 kilos of high-grade cocaine to the wrong address. The accidental recipients (Mike Epps and Wood Harris) see this as a chance for a quick profit and attempt to sell the cocaine to a drug-dealing cousin (Omari Hardwick). Also with Cisco Reyes and Yasmin Deliz. Directed by Benny Boom. [1:22]
Next Friday , 2000 , R ,6,4,10,"In the sequel to the comedy ""Friday,"" Ice Cube hides out with his relatives in the suburbs when the neighborhood bully he helped put behind bars breaks out of prison. Also with Mike Epps, Don ‘DC' Curry, Tamala Jones, Tom 'Tiny' Lister Jr., Justin Pierce, John Witherspoon, Sticky Fingaz, Amy Hill, Andy Linton, Clifton Powell, The Lady Of Rage, Lisa Rodriguez, Lobo Sebastian, Jacob Vargas and Kim Whitley. [1:33]"
The Next Karate Kid , 1994 , PG ,3,5,3,"Sequel to the original, with a twist: the neophyte karateka is a girl."
Next Stop Wonderland , 1998 , R ,3,1,6,"A recently-dumped woman and a plumber who wants to be a marine biologist seem to be the perfect match but always miss opportunities to meet each other. With Hope Davis, Alan Gelfant, Philip Seymour Hoffman, H. Jon Benjamin, Cara Buono, Sam Seder, Holland Taylor, José Zuniga, Robert Stanton, Callie Thorne, Larry Gilliard Jr., Jason Lewis, Roger Rees, Victor Argo, Lyn Vaus, Ken Cheeseman and Bronwyn Sims."
The Next Three Days , 2010 , PG-13 ,3,6,5,"When a woman (Elizabeth Banks) is arrested for the murder of a colleague and numerous trials and appeals do not go her way, her husband (Russell Crowe) takes matters into his own hands and plans to help her escape from prison. Also with Liam Neeson, Brian Dennehy, Moran Atias and Lennie James. Directed by Paul Haggis. [2:02]"
The Nice Guys , 2016 , R ,7,7,10,"A private detective (Ryan Gosling) trying to come to terms with the loss of his wife while raising a teen daughter (Angourie Rice) and a street-level enforcer (Russell Crowe) inadvertently end up working together when a missing person case leads to murder. Also with Matt Bomer, Margaret Qualley, Amelia Kuttner, Yaya DaCosta and Kim Basinger. Directed by Shane Black. [1:56]"
Nicholas Nickleby , 2002 , PG ,3,4,3,"Adapted from the Charles Dickens novel of loss and survival: 19-year-old Nicholas (Charlie Hunnam) and his family are left penniless after the sudden death of his father, and his sister and mother go to London to seek help from their greedy uncle Ralph (Christopher Plummer). The uncle's intentions are hardly benevolent, and he tries to break up the family by sending Nicholas to a school run by a cruel, abusive headmaster. Also with Jamie Bell, Jim Broadbent and Anne Hathaway. [1:48]"
Nick & Norah's Infinite Playlist , 2008 , PG-13 ,7,4,5,"A New Jersey high school senior (Michael Cera) hits New York city with his friends and band mates hoping to forget the girl who has broken his heart. When a series of events throw a young woman (Kat Dennings) into his path, he begins to wonder if his girlfriend was ever worth the effort in the first place. Also with Ari Graynor, Rafi Gavron, Alexis Dziena, Aaron Yoo, Jonathan Bradford Wright and Jay Baruchel. Directed by Pete Sollett. [1:30]"
Night and the City , 1992 , R ,4,3,5,"Remake of the influential Jules Dassin film noir, with Robert De Niro as the unscrupulous lawyer who ""wants to be somebody."""
Night at the Museum , 2006 , PG ,1,4,1,"Ben Stiller stars as a man who is constantly letting the people he loves down because he is convinced that he can do better professionally. Even his young son is so disappointed in him that he won't ask him to come to his school for career day. This motivates him to settle down in one job and he becomes the night guard at a museum, where the residents come to life after dark. He now has to figure out how to survive the nights without being eaten by a T-Rex, or torn limb from limb by Attila and his Huns, or bombarded by a Lilliputian Roman army. Also with Carla Gugino, Kim Raver, Ricky Gervais, Robin Williams, Mickey Rooney and Dick Van Dyke. Directed by Shawn Levy. [1:48]"
