movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Nebraska , 2013 , R ,3,4,5,"A grumpy old alcoholic (Bruce Dern) convinces his adult son (Will Forte) to travel 800 miles to Lincoln, Nebraska with him to claim the winnings from a sweepstakes letter. Before the end of the road trip, Dad finds himself in his boyhood hometown, trying to settle old scores. Also with June Squibb, Bob Odenkirk and Stacy Keach. Directed by Alexander Payne. [1:55]"
Need For Speed , 2014 , PG-13 ,3,6,4,"Based on a hit video game, this film features 1960s and 1970s muscle car restorations alongside modern super race cars: A struggling mechanic (Aaron Paul) has just endured his father's death, and soon afterward a rich ex-NASCAR driver (Dominic Cooper) frames him for vehicular homicide. A secret auto race is set and a massive bounty is put on the mechanic's head. Also with Imogen Poots, Ramón Rodríguez and Michael Keaton. Directed by Scott Waugh. [2:10]"
Needful Things , 1993 , R ,3,6,5,"Based on a Stephen King novel about Satan, who shows up in a small Maine town and wreaks havoc by selling to every resident exactly what he or she needs."
The Negotiator , 1998 , R ,1,6,8,Samuel L. Jackson and Kevin Spacey are two top-notch police negotiators pitted against each other.
Neighbors , 2014 , R ,9,6,10,"A husband (Seth Rogen) and his wife (Rose Byrne) are raising a new baby in a quiet neighborhood, when a college fraternity and its leader (Zak Efron) move in next door. Chaos prevails as the neighbors and the fraternity wage war against each other. Also with Ike Barinholtz, Lisa Kudrow, Dave Franco and Christopher Mintz-Plasse. Directed by Nicolas Stoller. [1:36]"
Neighbors 2: Sorority Rising , 2016 , R ,7,6,10,"Immature parents (Seth Rogen and Rose Byrne) confront the wild freshman leader (Chloë Grace Moretz) of a new party-loving sorority next door. The sorority declares war on the family and escalates their partying as their neighbors attempt to stop them with harebrained schemes. Also with Kiersey Clemons, Beanie Feldstein, Ike Barinholtz, Zac Efron, Selena Gomez and Dave Franco. Directed by Nicholas Stuller. [1:32]"
Neil Simon's The Odd Couple II , 1998 , PG-13 ,1,2,5,"Felix and Oscar (Jack Lemmon and Walter Matthau), the two mismatched roommates of Broadway, cinema and TV, must suffer each other."
Nell , 1994 , PG-13 ,5,2,5,Jodie Foster stars as a woman who has grown up in the woods without any form of human contact except for her stroke-victim mother. Natasha Richardson and Liam Neeson co-star.
Nerve , 2016 , PG-13 ,4,5,5,"A high school over-achiever (Emma Roberts) wants some action in her life and her friends push her into joining ""Nerve,"" a popular online role playing game. As paying spectators watch, they assign players progressively more dangerous dares and the teen girl and a co-player (David Franco) face possible death as they look for a means of escape. Also with Juliette Lewis, Emily Meade, Miles Heizer and Kimiko Glenn. Directed by Ariel Schulman & Henry Joost. [1:36]"
The Net , 1995 , PG-13 ,2,4,5,Sandra Bullock is a computer analyst who discovers a secret in a computer program which could get her killed.
Never Back Down , 2008 , PG-13 ,4,6,5,"A young man (Sean Faris) moves with his family to Florida where his young brother (Wyatt Smith) will attend an exclusive tennis training school. Trying to fit in at his own new school proves difficult when his past is uncovered and he is enticed into an underground fighting club run by one of the students. Also with Amber Heard, Djimon Hounsou, Cam Gigandet, Evan Peters, Charlie Tyler and Leslie Hope. Directed by Jeff Wadlow. [1:46]"
Never Been Kissed , 1999 , PG-13 ,4,2,3,"Nerdy journalist Drew Barrymore goes undercover to infiltrate the popular clique at a local high school and write a story about today's teens. Also with David Arquette, Molly Shannon, Michael Vartan, John C. Reilly, Leelee Sobieski, Garry Marshall, Jessica Alba, Jeremy Jordan, Marley Shelton and Jordan Ladd. [1:47]"
Never Die Alone , 2004 , R ,8,8,10,"A man who was a hard-boiled drug dealer (DMX) returns to his home after ten years seeking redemption. But those he left behind are not happy to see him and do everything they can to prevent him. He meets a writer (David Arquette) along the way, and when he's killed, the writer decides to document the last few hours of his life and find out why he was killed. Also with Clifton Powell, Mike Ealy, Jennifer Sky, Reagon Gomez-Preston, Paige Hurd and Rhoda Jordan. Directed by Ernest R. Dickerson. [1:22]"
Never Let Me Go , 2010 , R ,8,6,3,"Based on the Kazuo Ishiguro novel, alternate reality film about a medically advanced Britain in 1994: A woman (Carey Mulligan) recalls her childhood in an isolated boarding school with friends, growing up without parents, among an erratic boy (Andrew Garfield) and a manipulative girl (Keira Knightley). Upon leaving school, she learns that they live in a world where human clones provide donor organs, one by one, until they ""complete"" -- a euphemism for death. Also with Sally Hawkins, Charlotte Rampling and Natalie Richard. Directed by Mark Romanek. [1:43]"
Never Talk to Strangers , 1995 , R ,7,5,6,Rebecca DeMornay is a criminal psychologist with a stalker problem.
