movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Jane Eyre , 2011 , PG-13 ,4,5,1,"Based on Charlotte Brontë's classic, about a governess (Mia Wasikowska) that falls in love with her brooding employer (Michael Fassbender) and eventually discovers his dark secret. Also with Jamie Bell, Sally Hawkins, Dame Judi Dench, Imogen Poots, Tamzin Merchant and Holliday Grainger. Directed by Cary Fukunaga. [1:55]"
Jarhead , 2005 , R ,8,7,10,"The Gulf War plays out in the burning oil fields of Saudi Arabia as we see how the young soldiers who fought on the ground suffered from fear, monotony and heat. We watch a battalion of Marine scout snipers whose mission it is to protect the oil fields. Each man confronts his demons along the way, while trying to remain sane through sardonic humor. ""Jarhead"" is a nickname for the Marines. With Jake Gyllenhaal, Peter Sarsgaard, Jamie Foxx, Lucas Black and Chris Cooper. Directed by Sam Mendes. [1:55]"
Jason Bourne , 2016 , PG-13 ,1,7,4,"The runaway government assassin (Matt Damon) with induced amnesia resurfaces only to be hunted down again. He teams up with another ex-operative (Julia Stiles) to avoid capture and continues to try to discover the truth about himself and his past. Also with Tommy Lee Jones, Alicia Vikander, Vincent Cassel and Riz Ahmed. Directed by Paul Greengrass. Several lines of dialogue are in Greek, Russian and other languages with and without English subtitles. [2:13]"
Jason Goes to Hell: The Final Friday , 1997 , R ,6,9,7,"Jason Voorhees, the big bad guy with the hockey mask who likes killing teens, is back for the ninth time."
Jason's Lyric , 1994 , R ,6,9,6,Urban drama about two brothers and their relationship with their father. There's also a romantic subplot.
Jason X , 2002 , R ,6,8,5,"Jason Voorhees gets supercharged in the umpteenth installment of the series about the silent, goalie-masked serial slasher. He now gets to operate in space, in the year 2455. The Earth has died, and when a crew of earth-bound explorers finds a woman and a man cryogenically frozen, they bring them back to their spaceship. And the bloodletting begins anew as Jason finds new and original ways to murder more people. With Kane Hodder, Dylan Bierk, Lisa Ryder, Chuck Campbell and Barna Moricz. [1:33]"
Jawbreaker , 1999 , R ,5,4,7,"In this black comedy, a group of high school girls turn against each other when they accidentally kill one of their friends and disagree on how to cover it up. Starring Rose McGowan, Rebecca Gayheart, Julie Benz, Judy Greer, Chad Christ, Ethan Erickson, Charlotte Roldan, Carol Kane and Pam Grier. [1:27]"
Jay and Silent Bob Strike Back , 2001 , R ,7,5,10,"This road picture is centered on the two recurring characters writer/director Kevin Smith created for his debut film ""Clerks"" and subsequently used as comic foils in his other films: When Jay (Jason Mewes) and Silent Bob (Kevin Smith) learn that a movie is being made featuring their characters, they expect royalty checks to start rolling in. When they don't, the disparate duo decides to sabotage the film and thus make their way from New Jersey to Hollywood. They have several adventures along the way and end up in the Miramax lot, invading the sets of several movies, some real, some imaginary. Also with Shannen Doherty, Renée Humphrey, Ben Affleck, James Van Der Beek, Jason Biggs, Matt Damon, Joey Lauren Adams, Shannon Elizabeth, Eliza Dushku and Carrie Fisher. [1:40]"
J. Edgar , 2011 , R ,3,4,5,"Biopic of J. Edgar Hoover with Leonardo DiCaprio in the lead role: The first Director of the FBI lead a complicated life as he rose to power, and amid famous raids, G-man comic books and other exploits, Hoover hid secrets with the help of his lifelong friend, Associate FBI Director Clyde Tolson (Armie Hammer) and his long-time secretary (Naomi Watts). Also with Judy Dench, Damon Herriman, Lea Coco, Stephen Root and Jeffrey Donovan. Directed by Clint Eastwood. [2:17]"
Jeepers Creepers , 2001 , R ,5,9,7,"Two teens, a brother and sister, are driving home from college when they decide to do all the things teenagers should never do in deserted country roads, especially when they get an inkling that there's a demonic creature lurking about, a creature that likes dining on human flesh. With Justin Long, Gina Philips, Jonathan Breck, Eileen Brennan and Patricia Belcher. [1:30]"
Jeepers Creepers 2 , 2003 , R ,2,9,9,"Every 23 years an ancient monster known as the Creeper comes back to ""life"" and spends the next 23 days feasting on humans. This time around he finds a broken down high school bus full of basketball players, cheerleaders and coaches that are ripe for the picking. With Jonathan Breck, Justin Long, Nicki Lynn Aycox, Ray Wise and Billy Aaron Brown. Directed by Victor Salva. [1:46]"
Jefferson in Paris , 1995 , PG-13 ,4,2,0,"Nick Nolte stars as Thomas Jefferson, during the time period when he was the U.S. ambassador to France."
"Jeff, Who Lives at Home ", 2012 , R ,4,4,8,"An unemployed and aimless 30-year-old (Jason Segel) still lives in his mother's basement and finds himself searching for meaning in everything, including a chance run-in with his brother (Ed Helms), before they begin a day-long investigation into the possible infidelity of his sister-in-law. Also with Susan Sarandon, Judy Greer and Rae Dawn Chong. Directed by Jay Duplass & Mark Duplass. [1:23]"
Jem and the Holograms , 2015 , PG ,3,2,2,"Based on the 1980s cartoon series: shy teenager Jem (Aubrey Peeples) writes music and starts a rock band to sing with her crew (Stefanie Scott, Aurora Perrineau and Hayley Kiyoki). Under the guidance of a new music producer (Ryan Guzman) the band becomes world famous and inspires thousands of people. Also with Juliette Lewis, Molly Ringwald, Nathan Moore, Barnaby Carpenter and Nicholas Braun. Directed by Jon M. Chu. [1:58]"
Jennifer 8 , 1992 , R ,4,4,5,"Andy Garcia is a cop obsessed with the long-cold trail of a serial killer, while Uma Thurman is a blind music instructor who may be the next victim."
Jennifer's Body , 2009 , R ,7,9,7,"A young woman (Megan Fox) makes the fateful choice to join the members of a rock band for a ride in their van, and when young men in her small town begin dying in gruesome ways, her best friend (Amanda Seyfried) suspects that she might have something to do with it. Also with Johnny Simmons, J. K. Simmons, Amy Sedaris, Adam Brody, Sal Cortez, Juan Riedinger, Chris Pratt, Juno Ruddell and Kyle Gallner. Directed by Karyn Kusama. [1:42]"
The Jerky Boys , 1995 , R ,4,3,8,"The Jerky Boys, made famous by creating comedy tapes of raunchy prank phone calls, employ various odd character voices to antagonize their unsuspecting victims."
Jerry Maguire , 1996 , R ,5,2,7,Tom Cruise is sports agent Jerry Maguire who gets an attack of conscience and must then put his money where his mouth is.
Jersey Boys , 2014 , R ,4,4,8,"Three 1950s New Jersey street corner singers (Michael Lomenda, Vincent Piazza and Erich Bergen) recruit Frankie Valli (John Lloyd Young) and become a boy band sensation as The Four Seasons. The film chronicles their rise in the music industry, along with their underworld involvement and family disasters. Also with Christopher Walken, Mike Doyle, Renee Marino and Jeremy Luke. Directed by Clint Eastwood. [2:14]"
Jersey Girl , 2004 , PG-13 ,5,3,5,"A man (Ben Affleck) and his infant daughter move to New Jersey leaving their glamorous life in Manhattan behind after his wife dies in child birth and he is fired from his job. The man struggles to cope with his grief and become a single parent with the help of his father (George Carlin). He longs for his old life and continues to try to recapture the old days by interviewing for jobs in New York. When he finally gets a job offer he must decide between that and the family he has created with his daughter and father in New Jersey. Also with Liv Tyler, Raquel Castro and Jason Biggs. Directed by Kevin Smith. [1:43]"
Jesus Camp , 2006 , PG-13 ,1,2,0,"Documentary that focuses on an evangelical Christian summer camp, ""Kids in Ministry International"" (KIMI), where activities include speaking in tongues, and children are taught that ""science doesn't prove anything,"" and that they are members of an Army of God that will fight to end abortion. With Becky Fischer and Mike Papantonio. Directed by Heidi Ewing & Rachel Grady. [1:25]"
Jesus Henry Christ , 2012 , PG-13 ,2,6,5,"The story of a ten-year-old (Jason Spevack), conceived in-vitro, who seeks the identity of his father while also trying to find his place in the world. Also with Toni Collette, Michael Sheen and Samantha Weinstein. Directed by Dennis Lee. [1:32]"
Jet Lag , 2003 , R ,6,2,5,Jean Reno and Juliette Binoche star in this romantic comedy as two strangers -- and complete opposites personality-wise -- who meet at Charles de Gaulle airport in Paris while planes are grounded due to a strike and bad weather. Also with Sergi López and Scali Delpeyrat. Directed by Danièle Thompson. In French with English subtitles. [1:31]
Jet Li's Fearless , 2006 , PG-13 ,1,7,1,"Jet Li stars as a the son of a great martial arts fighter, who's determined to continue his father's legacy by defeating all martial arts masters in competition. After years of training he ends up killing an opponent during a match. The dead man's family seeks revenge by murdering his mother and daughter. Grieving, he leaves his village and wanders the countryside in a daze until he is found and nursed back to health by a community of rice farmers. Also with Betty Sun, Dong Yong, Shido Nakamura and Collin Chou. Directed by Ronnie Yu. [1:43]"
Jigsaw , 2017 , R ,2,10,9,"The 8th installment of the ""Saw"" series finds the police investigating a series of elaborate murders with the signature of the Jigsaw killer (Tobin Bell), who was supposed to have been dead for a decade. Also with Matt Passmore, Callum Keith Rennie, Clé Bennett and Hannah Emily Anderson. Directed by Michael Spierig & Peter Spierig. [1:31]"
Jimmy Hollywood , 1994 , R ,2,2,6,Joe Pesci stars as a man who desperately wants to become a Hollywood star.
Jimmy Neutron: Boy Genius , 2001 , G ,2,4,2,"Animated feature about Little Jimmy Neutron, a boy genius who's not very cool. However, when one day all parents on Earth are kidnapped by aliens, he uses his intellectual prowess to invent stuff and leads the children of the world in a rescue mission. He quickly becomes the coolest kid. With the voices of Megan Cavanagh, Mark DeCarlo, Debi Derryberry, Jeffrey Garcia, Bob Goen, Mary Hart , Carolyn Lawrence, Andrea Martin, Candi Milo, Candy Milo Martin Short, Patrick Stewart and Laraine Newman. [1:30]"
Jingle All the Way , 1996 , PG ,2,4,2,Arnold Schwarzenegger fights the Christmas crowds and Sinbad to get his son a hot toy.
Jobs , 2013 , PG-13 ,3,2,5,"Biopic of Steve Jobs (Ashton Kutcher) who along with Steve Wozniak (Josh Gad) brought creative ideas in the world of computers, technology and business. Also with Dermot Mulroney, Lukas Haas and J.K. Simmons. Directed by Joshua Michael Stern. [2:02]"
Jodorowsky's Dune , 2014 , PG-13 ,6,5,2,"In this documentary director Alejandro Jodorowsky explains his attempts to film Frank Herbert's ""Dune"" in 1975. He treats viewers to images and sound performances by famous artists (Dali, Giger, Chris Foss, Jean ""Moebius"" Giraud, Magma and Pink Floyd) and stories about cast members. Also with Brontis Jodorowsky, Michel Seydoux, Chris Foss, Nicolas Winding Refn, Amanda Lear and Richard Stanley. Directed by Frank Pavich. In English, Spanish, French and German with English subtitles. [1:30]"
Joe Dirt , 2001 , PG-13 ,6,5,6,"A janitor (David Spade) living in a boiler room becomes the guest on a talk radio show and captivates the hearts of millions with his pathetic life story. Also with Brittany Daniel, Christopher Walken, Erik Per Sullivan, Dennis Miller, Kid Rock, Adam Beach and Rosanna Arquette. [1:22]"
Joe Gould's Secret , 1999 ,R ,8,1,6,"Stanley Tucci plays Joe Mitchell, a writer for The New Yorker who profiles the eccentric Joe Gould (Ian Holm), a man collecting everyday people's conversations and concerns and creating a huge tome he calls ""The Oral History of Our Time."" Also with Patricia Clarkson, Hope Davis, Steve Martin, Susan Sarandon, Patrick Tovatt, Celia Weston, Allan Corduner, Alice Drummond, Julie Halston, Hallee Hirsh, Sarah Hyland, Ben Jones, John Tormey and David Wohl. [1:44]"
Joe Somebody , 2001 , PG ,2,3,4,"Joe (Tim Allen) is a middle-aged divorced corporate peon whose life is both personally and professionally at a dead-end. But everything's turned around after the office bully publicly humiliates him in front of his daughter. Joe challenges him to a fight and gives himself a total makeover, and thereby becomes both popular and successful. Also with Julie Bowen, Kelly Lynch, Greg Germann and Patrick Warburton. [1:38]"
John Carpenter's Vampires , 1998 , R ,7,10,10,"Vampire hunters James Woods and Daniel Baldwin must kill a master vampire before he finds a church relic that will allow him and his disciples to live in the sunlight. Also with Sheryl Lee, Thomas Ian Griffith, Maximilian Schell, Tim Guinee and Gregory Sierra. [1:47]"
John Carter , 2012 , PG-13 ,2,6,4,"John Carter, a Civil War veteran (Taylor Kitsch) is mysteriously transported to Mars where he becomes immersed in the conflict between the various nations of the planet. When he meets a princess (Lynn Collins), he vows to help against her enemies. Also with Willem Dafoe, Thomas Haden Church, Ciaran Hinds, Samantha Morton, Daryl Sabara, Mark Strong and Dominic West. Directed by Andrew Stanton. [2:12]"
Johnny English , 2003 , PG ,3,4,3,"Spy spoof with Rowan Atkinson as accident-prone MI-7 agent Johnny English, who takes on a Machiavellian French business magnate (John Malkovich) after all of the other secret agents have been killed. Helping English protect the British monarchy are Ben Miller as his sidekick and recording artist Natalie Imbruglia as his object of affection. Also with Kevin McNally. Directed by Peter Howitt. [1:28]"
Johnny English Reborn , 2011 , PG ,2,5,4,"A banished MI7 agent (Rowan Atkinson) is called back from Tibetan Kung Fu training to uncover and stop an assassins' syndicate known as The Vortex. At first, he does not impress his Chief (Gillian Anderson) or the company psychologist (Rosamund Pike). However, with help from his assistant (Daniel Kaluuya) and lessons from his Kung Fu master, he starts getting the job done. Also with Dominic West, Richard Schiff, Tim McInnerny, Togo Igawa, Pierce Brosnan and Pik-Sen Lim. Directed by Oliver Parker. [1:40]"
Johnny Mnemonic , 1995 , R ,2,8,6,Keanu Reeves stars as a futuristic information courier with too much data in his brain.
John Q , 2002 , PG-13 ,2,6,5,"A young boy needs a heart transplant, but his father's insurance won't pay for the operation. The increasingly desperate father (Denzel Washington) takes over the hospital's emergency room and holds everybody there hostage. His demand is to have his son's name placed on the organ transplant list. Also with Robert Duvall, Anne Heche, James Woods and Eddie Griffin. [1:58]"
Johnson Family Vacation , 2004 , PG-13 ,4,4,5,"A separated couple (Vanessa L. Williams and Cedric the Entertainer) plans a trip with their three children to a family reunion. The husband wants desperately to win the ""Family of the Year"" award, and also hopes to win back his wife in the process. Also with Solange Knowles, Bow Wow and Chris Hardwick. Directed by Christopher Erskin. [1:36]"
John Tucker Must Die , 2006 , PG-13 ,5,3,4,"Three young women take on the challenge of systematically destroying a young man's life after they find out that he is dating all three of them, at the same time. The idea is to make him fall in love with someone and then break his heart in order to teach him a lesson. With Jesse Metcalfe, Sophia Bush, Ashanti, Brittany Snow and Sophia Bush. Directed by Betty Thomas. [1:27]"
John Wick , 2014 , R ,2,7,9,"In New York City a retired hit man (Keanu Reeves) loses his wife to disease. Unable to mourn he comes out of retirement to eliminate the Russian gangsters who stole his car, wrecked his house and killed his puppy, the last gift from his dying wife. Also with Alfie Allen, Willem Dafoe, Ian McShane, Bridget Moynahan, Michael Nyqvist, Adrianne Palicki and Dean Winters. Directed by David Leitch and Chad Stahelski. Several lines of dialogue are in Russian with English subtitles. [1:36]"
John Wick: Chapter 2 , 2017 , R ,4,9,5,"In this sequel, a former assassin (Keanu Reeves) plans a low-profile retirement but is recalled to action when an Italian gangster (Riccardo Scamarcio) demands a favor. The assassin reluctantly travels to Rome to kill the ruthless leader (Claudia Gerini) of a dangerous crime family. Also with Common, Laurence Fishburne, Ruby Rose, John Leguizamo and Ian McShane. Directed by Chad Stahelski. Several lines of dialogue are spoken in Italian, Russian, Hebrew and American Sign Language with English subtitles. [2:02]"
Jonah: A Veggie Tales Movie , 2002 , G ,0,2,1,"The first feature film based on the popular direct-to-video children's series that features talking Christian vegetables and fruits, adapts the Biblical tale of Jonah and the whale, framed within a contemporary story. Jonah is an asparagus, while the whale remains a whale. With the voices of Phil Vischer, Mike Nawrocki, Kristin Blegen and Lisa Vischer. [1:23]"
Jonah Hex , 2009 , PG-13 ,4,7,4,"Based on the popular DC Comic line, a Confederate soldier turned bounty hunter (Josh Brolin) is offered his freedom in exchange for stopping a rogue soldier from destroying the United States. His ability to temporarily reanimate and talk to the dead, comes in useful. Megan Fox co-stars as a prostitute. Also with John Malkovich, and Will Arnett. Directed by Jimmy Hayward. [1:21]"
The Joneses , 2009 , R ,7,4,5,"When a picture perfect family (David Duchovny, Demi Moore, Amber Heard and Ben Hollingsworth) moves into a new suburban neighborhood, they quickly become the envy of everyone. That is, until it is revealed that they are not a real family, just four unrelated people commissioned by a marketing company to pitch luxury products to neighborhoods around the world. Also with Gary Cole, Glenne Headly and Lauren Hutton. Directed by Derrick Borte. [1:36]"
Josh and S.A.M. , 1993 , PG-13 ,0,3,3,"An 8-year-old (Noah Fleiss) is convinced that he's really a Strategically Altered Mutant (ergo S.A.M.), and afraid that he'll be sent off to fight a secret war in Africa, he decides to flee to Canada and safety."
Joshua , 2002 , G ,1,2,1,"Religious film about a gentle stranger (Tony Goldwyn) who comes to a small town where everyone knows everyone else, but there is little sense of community. The stranger begins to rebuild a Christian church that was destroyed during a storm and as people join in on the project, they discover what it is to be a good neighbor. They also watch as the stranger performs what seem like miracles. Based on a novel by Joseph F. Girzone. Also with F Murray Abraham, Kurt Fuller, Giancarlo Giannini and Jordan Allen. [1:30]"
Joshua , 2007 , R ,6,5,6,"A wealthy Manhattan couple (Sam Rockwell and Vera Farmiga) welcomes their new child, but soon their gifted and apparently psychopathic 9-year-old son (Jacob Kogan) starts to destroy their lives. He is quite aware of the limits of love, and tests those limits and watches happily as he tears apart his family. Also with Celia Weston, Dallas Roberts and Michael McKean. Directed by George Ratliff. [1:45]"
Josie & The Pussycats , 2001 , PG-13 ,3,3,3,"An unscrupulous manufacturer plans to add subliminal messages on popular CDs and the only thing he needs is a gullible young band to act as cover. That's when he finds Josie & The Pussycats and they become his unwitting accomplices. Rachael Leigh Cook, Tara Reid, Rosario Dawson, Alan Cumming, Parker Posey, Gabriel Mann, Paulo Costanzo and Missi Pyle. [1:38]"
Journey to the Center of the Earth , 2008 , PG ,2,4,1,"A scientist (Brendan Fraser) has some outlandish ideas that have landed him on the fringes of the academic world. When he discovers a journal from his missing brother he takes his nephew (Josh Hutcherson) and heads to Iceland, where along with a beautiful mountain guide (Anita Briem) they descend to the center of the Earth and discover a world of danger and wonder. Also with Seth Myers and Jean Michel Pare. Directed by Eric Brevig. [1:32]"
Journey 2: The Mysterious Island 3D , 2012 , PG ,2,5,2,"A misunderstood youth (Josh Hutcherson) takes his stepfather (Dwayne Johnson) on an expedition to find the teen's missing grandfather (Michael Caine). The boy receives a coded message containing related clues from classic books and while his stepfather is skeptical, he agrees to a journey to the message's global coordinates. Meanwhile, the grandfather is living on an island previously thought imaginary. Also with Luis Guzman, Vanessa Hudgens and Kristin Davis. Directed by Brad Peyton. [1:34]"
Joy , 2015 , PG-13 ,2,3,5,"Based on the true story of a woman (Jennifer Lawrence) who had been very good at creating useful things since she was very young. Eventually she decided to go all in with her latest invention when the shopping network QVC was becoming popular on cable TV. Also with Robert De Niro, Bradley Cooper, Édgar Ramírez, Diane Ladd, Virginia Madsen and Isabella Rossellini. Directed by David O. Russell. [2:04]"
Joyful Noise , 2012 , PG-13 ,4,3,4,"A single mom and church choir director (Queen Latifah) argues incessantly with teen choir members (Keke Palmer, Dexter Darden and Jeremy Jason) and a veteran singer (Dolly Parton) about what to sing and how to sing it. Frustrations rise even more after losing several regional competitions and funding. But the choir members cooperate to find a way to enter the finals of the National Joyful Noise Competition. Also with Kirk Franklin, Kris Kristofferson, Courtney B. Vance and Jesse L. Martin. Directed by Todd Graff. [1:58]"
The Joy Luck Club , 1993 , R ,4,5,5,The stories of four Chinese mothers and their four American daughters give insight into the mother/daughter ties that bind.
Joy Ride , 2001 , R ,4,7,7,"Steve Zahn and Paul Walker star as two brothers who are driving across the country. To entertain themselves they use their CB radio to strike up a relationship with a trucker. But it turns out that the trucker does not take lightly to being made fun of and the results are deadly. Also with Leelee Sobieski, Rachel Singer and Walton Goggins. [1:36]"
The Judge , 2014 , R ,5,4,7,"An attorney (Robert Downey, Jr.), returns to his rural hometown for his mother's funeral and continues an old feud with his father, a long-time judge (Robert Duvall). But his departure is delayed by accusations lodged against his father in the case of a murdered man recently released from prison and decides to take action to help his father. Also with Vera Farmiga, Vincent D'Onofrio, Dax Shepard, Jeremy Strong, Sarah Lancaster, Leighton Meester, Ken Howard and Billy Bob Thornton. Directed by David Dobkin. [2:22]"
Judge Dredd , 1995 , R ,1,8,5,Sylvester Stallone is the law in this actioner based on the popular comic.
Judgment Night , 1993 , R ,0,7,7,Emilio Estevez and Denis Leary star in this violent tale of a road trip gone bad.
Judy Moody and the Not Bummer Summer , 2011 , PG ,1,3,3,"Based on the popular children's book of the same name, a third-grader (Jordana Beatty) sets out to have the best summer vacation ever, with the help of her aunt (Heather Graham) and brother (Parris Mosteller). Also with Janet Varney, Kristoffer Ryan Winters and Jaleel White. Directed by John Schultz. [1:21]"
Julie & Julia , 2009 , PG-13 ,5,3,5,"The story of how famed chef Julia Child (Meryl Streep) brought French cooking into American kitchens and how Julie Powell (Amy Adams) cooked her way through Julia Child's cook book and blogged about it. Also with Stanley Tucci, Chris Messina, Jane Lynch, Mary Lynn Rajskub, Vanessa Ferlito, Linda Emond, Helen Carey and Joan Juliet Buck. Directed by Nora Ephron. [2:03]"
Julien Donkey-Boy , 1999 , R ,4,5,7,"In this dark slice-of-life flick, we meet a schizophrenic man and his dysfunctional family. With Ewen Bremner, Chloë Sevigny, Werner Herzog, Evan Neumann, Joyce Korine, Chrissy Kobylak, Alvin Law, Gary Berman, Brian Fisk, Hy Richards, Victor Varnado and Barry Benjamin Wernick. [1:34]"
Jumanji , 1995 , PG ,1,5,3,"Robin Williams is a man who, as a boy, was sucked into a game that spit him out into a jungle. Now, the jungle is brought back to 1995 New England. Also with Jonathan Hyde, Kirsten Dunst, Bradley Pierce, Bonnie Hunt, Bebe Neuwirth, David Alan Grier, Patricia Clarkson, Adam Hann-Byrd, Laura Bundy, James Handy, Gillian Barber, Brandon Obray, Cyrus Theideke and Gary Joseph Thorup. [1:44]"
Jumanji: Welcome to the Jungle , 2017 , PG-13 ,4,5,4,"Four high school students end up together on detention and uncover an alternate reality video game. Assuming the identities of adult avatars, they enter the jungle setting of the game and try to survive and return home. With Dwayne Johnson, Kevin Hart, Jack Black, Karen Gillan, Bobby Cannavale, Nick Jonas, Alex Wolff, Ser'Darius Blain, Madison Iseman and Morgan Turner. Directed by Jake Kasdan. [1:59]"
