movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
The X-Files , 1998 , PG-13 ,1,6,3,Mulder and Scully (David Duchovny and Gillian Anderson) uncover government conspiracies in the big screen version of their popular TV show.
The X-Files: I Want to Believe , 2008 , PG-13 ,3,7,4,"Former FBI agents Fox Mulder (David Duchovny), a believer in alien abductions, paranormal phenomena and government conspiracies, and Dana Scully (Gillian Anderson), a more pragmatic physician with forensic expertise, team up to find a missing FBI agent by following a trail laid out by a defrocked Catholic priest (Billy Connolly), who's a self-proclaimed psychic. Also with Amanda Peet, Alvin ""Xzibit"" Joiner, Callum Keith Rennie, Adam Godley and Nicki Aycox. Directed by Chris Carter. [1:44]"
X-Men , 2000 , PG-13 ,1,6,3,"In the not-too-distant future, a race of mutants develops on Earth, and even the mutants themselves are divided about their role in society: some are bent on ruling the humans and others believe that mutants should serve humanity. With Patrick Stewart, Ian McKellen, Hugh Jackman, Halle Berry, Famke Janssen, James Marsden, Bruce Davison, Tyler Mane, Rebecca Romijn-Stamos, Ray Park, Anna Paquin and Matthew Sharp."
X-Men: Days of Future Past , 2014 , PG-13 ,3,7,5,"Wolverine (Hugh Jackman) is sent to the past to correct a situation that has caused a series of events leaving the planet at war. Also with Ian McKellen, Patrick Stewart, James McAvoy, Michael Fassbender, Jennifer Lawrence, Halle Berry, Nicholas Hoult, Anna Paquin, Ellen Page, Peter Dinklage, Shawn Ashmore, Omar Sy, Evan Peters and Josh Helman. Directed by Bryan Singer. [2:11]"
X-Men: First Class , 2011 , PG-13 ,5,7,5,"Prequel to the popular sci-fi series, tracing the origins of the X-Men: In 1963 a man (James McAvoy) with extraordinary mental powers starts a school for young men and women who also have superhuman abilities. His best friend (Michael Fassbender), who can manipulate metal with his mind, soon becomes his nemesis. Also with Kevin Bacon, Rose Byrne, Jennifer Lawrence, Morgan Lily, Oliver Platt, January Jones and Jason Flemyng. Directed by Matthew Vaughn. [2:12]"
X-Men Origins: Wolverine , 2009 , PG-13 ,4,6,4,"The fourth entry in the series provides the back story of Wolverine (Hugh Jackman): Born in mid-19th century Canada, he fights in WWI, WWII and Vietnam, and is eventually recruited by a secret government unit conducting criminal paramilitary operations and staffed by other mutants. He soon finds out that quietly quitting is not an option. Also with Liev Schreiber, Tim Pocock, Troye Sivan, Tahyna Tozzi, Will i Am, Danny Huston and Ryan Reynolds. Directed by Gavin Hood. [1:47]"
X-Men: The Last Stand , 2006 , PG-13 ,4,6,3,"The third film in the series revolves around a cure for mutancy that threatens to wipe out the X-Men, since now mutants have a choice: they can retain their unique abilities that make them both envied and despised, or become unremarkable humans. Mutant leaders Charles Xavier (Patrick Stewart) and Magneto (Ian McKellen), who hold fundamentally opposing perspectives on X-Men evolution, are thus poised for another confrontation. Also with Hugh Jackman, Halle Berry, Famke Janssen, Kelsey Grammer, Rebecca Romijn and Anna Paquin. Directed by Brett Ratner. [1:44]"
X2: X-Men United , 2003 , PG-13 ,4,5,3,"The X-Men return to do battle against the megalomaniac Magneto and his wayward mutants who believe in mutant supremacy, as well as a soldier who has his own ideas on who should be dominated by whom. Other plot points involve a martial-arts expert who has it in for Wolverine and a new mutant that threatens the president. With Patrick Stewart, Hugh Jackman, Famke Janssen, Halle Berry and Brian Cox. Directed by Bryan Singer. [2:14]"
XXX: State of the Union , 2005 , PG-13 ,4,7,5,"In this sequel Ice Cube picks up the role of super agent XXX from Vin Diesel: Darius Stone (Ice Cube) and his handler Agent Augustus Gibbons (Samuel L. Jackson) go head to head with Willem Dafoe in order to thwart a presidential assassination plot. Also with Scott Speedman, Peter Strauss and Sunny Mabrey. Directed by Lee Tamahori. [1:34]"
